,min_thresh_inner,min_thresh_outer,erode_kernel_size,erode_iterations
Plate 41 CHX 3 cm day 2 GFP_RGB_GFP_34_96.tif,0.4,0.1,5,2
Plate 41 CHX 3 cm day 3 GFP_RGB_GFP_34_96.tif,0.37,0.1,5,2
Plate 42 CHX 3 cm day 1 GFP_RGB_GFP_34_96.tif,,0.1,,
Plate 42 CHX 3 cm day 2 GFP_RGB_GFP_34_96.tif,0.4,0.1,5,2
Plate 42 CHX 3 cm day 3 GFP_RGB_GFP_34_96.tif,0.39,0.1,5,2
Plate 43 CHX 3 cm day 1 GFP_RGB_GFP_34_96.tif,,0.1,,
Plate 43 CHX 3 cm day 2 GFP_RGB_GFP_34_96.tif,0.4,0.1,5,2
Plate 43 CHX 3 cm day 3 GFP_RGB_GFP_34_96.tif,0.38,0.1,5,2
Plate 44 CHX 3 cm day 1 GFP_RGB_GFP_34_96.tif,,0.1,,
Plate 44 CHX 3 cm day 2 GFP_RGB_GFP_34_96.tif,0.4,0.1,5,2
Plate 44 CHX 3 cm day 3 GFP_RGB_GFP_34_96.tif,0.44,0.1,5,2
Plate 45 CHX 3 cm day 1 GFP_RGB_GFP_34_96.tif,,0.1,,
Plate 45 CHX 3 cm day 2 GFP_RGB_GFP_34_96.tif,0.4,0.1,5,2
Plate 45 CHX 3 cm day 3 GFP_RGB_GFP_34_96.tif,0.36,0.1,5,2
Plate 46 CHX 3 cm day 1 GFP_RGB_GFP_34_96.tif,,0.1,,
Plate 46 CHX 3 cm day 2 GFP_RGB_GFP_34_96.tif,0.41,0.1,5,2
Plate 46 CHX 3 cm day 3 GFP_RGB_GFP_34_96.tif,0.45,0.1,5,2
Plate 47 CHX 3 cm day 1 GFP_RGB_GFP_34_96.tif,,0.1,,
Plate 47 CHX 3 cm day 2 GFP_RGB_GFP_34_96.tif,0.5,0.1,5,2
Plate 47 CHX 3 cm day 3 GFP_RGB_GFP_34_96.tif,0.475,0.1,5,2
Plate 5 CHX 1.5 cm day 1 GFP_RGB_GFP_22_38.tif,,0.1,,
Plate 5 CHX 1.5 cm day 2 GFP_RGB_GFP_22_38.tif,0.4,0.1,5,3
Plate 5 CHX 1.5 cm day 3 GFP_RGB_GFP_22_38.tif,0.35,0.1,5,3
Plate 6 CHX 1.5 cm day 1 GFP_RGB_GFP_22_38.tif,,0.1,,
Plate 6 CHX 1.5 cm day 2 GFP_RGB_GFP_22_38.tif,0.4,0.1,5,3
Plate 6 CHX 1.5 cm day 3 GFP_RGB_GFP_22_38.tif,0.35,0.1,5,3
Plate 7 CHX 1.5 cm day 1 GFP_RGB_GFP_22_38.tif,,0.1,,
Plate 7 CHX 1.5 cm day 2 GFP_RGB_GFP_22_38.tif,0.4,0.1,5,3
Plate 7 CHX 1.5 cm day 3 GFP_RGB_GFP_22_38.tif,0.31,0.1,5,3
Plate 8 CHX 1.5 cm day 1 GFP_RGB_GFP_22_38.tif,,0.1,,
Plate 8 CHX 1.5 cm day 2 GFP_RGB_GFP_22_38.tif,0.4,0.1,5,3
Plate 8 CHX 1.5 cm day 3 GFP_RGB_GFP_22_38.tif,0.3,0.1,5,3
Plate 9 CHX 2 cm day 1 GFP_RGB_GFP_22_38.tif,,0.1,,
Plate 9 CHX 2 cm day 2 GFP_RGB_GFP_22_38.tif,0.4,0.1,5,3
Plate 9 CHX 2 cm day 3 GFP_RGB_GFP_22_38.tif,0.32,0.1,5,3
